usuarioId,producto,precioUnitario
1,Teclado,97.72
2,Monitor,8.63
3,Auricular,44.88
4,Webcam,37.37
5,Parlante,111.79
6,Cargador,103.12
7,Mochila,134.37
8,Mouse,17.61
9,Teclado,66.18
10,Monitor,9.32
11,Auricular,36.7
12,Webcam,78.28
13,Parlante,8.85
14,Cargador,33.83
15,Mochila,99.23
16,Mouse,84.02
17,Teclado,36.96
18,Monitor,90.44
1,Auricular,122.37
2,Webcam,5.94
3,Parlante,121.84
4,Cargador,106.23
5,Mochila,54.34
6,Mouse,27.54
7,Teclado,143.8
8,Monitor,53.81
9,Auricular,18.45
10,Webcam,19.02
11,Parlante,127.89
12,Cargador,92.54
